Country	Code	Year	Carbon_intensity	Unit
low-income countries	NA	2021	216.90265	gCO2/kWh
lower-middle-income countries	NA	2021	538.10614	gCO2/kWh
luxembourg	LUX	2022	168.14159	gCO2/kWh
macao	MAC	2021	491.5254	gCO2/kWh
madagascar	MDG	2021	483.25363	gCO2/kWh
malawi	MWI	2021	133.80281	gCO2/kWh
malaysia	MYS	2022	543.7372	gCO2/kWh
maldives	MDV	2021	651.5152	gCO2/kWh
mali	MLI	2021	466.0767	gCO2/kWh
malta	MLT	2022	495	gCO2/kWh
martinique	MTQ	2011	698.6301	gCO2/kWh
mauritania	MRT	2021	526.59576	gCO2/kWh
mauritius	MUS	2021	611.1111	gCO2/kWh
mexico	MEX	2022	421.40198	gCO2/kWh
middle east (ember)	NA	2021	515.4748	gCO2/kWh
moldova	MDA	2022	678.4386	gCO2/kWh
mongolia	MNG	2022	749.6561	gCO2/kWh
montenegro	MNE	2022	399.3808	gCO2/kWh
montserrat	MSR	2021	1000	gCO2/kWh
morocco	MAR	2021	610.41156	gCO2/kWh
mozambique	MOZ	2021	126.63316	gCO2/kWh
myanmar	MMR	2021	344.36493	gCO2/kWh
namibia	NAM	2021	63.694267	gCO2/kWh
nauru	NRU	2021	750	gCO2/kWh
nepal	NPL	2021	24.509806	gCO2/kWh
netherlands	NLD	2022	355.77798	gCO2/kWh
new caledonia	NCL	2021	610.119	gCO2/kWh
new zealand	NZL	2022	97.73243	gCO2/kWh
nicaragua	NIC	2021	354.21164	gCO2/kWh
niger	NER	2021	622.2222	gCO2/kWh
nigeria	NGA	2022	368.2243	gCO2/kWh
north america	NA	2021	352.24173	gCO2/kWh
north america (ember)	NA	2022	336.26154	gCO2/kWh
north korea	PRK	2021	157.78548	gCO2/kWh
north macedonia	MKD	2022	529.32764	gCO2/kWh
norway	NOR	2022	28.818445	gCO2/kWh
oceania	NA	2021	474.87375	gCO2/kWh
oceania (ember)	NA	2022	446.55026	gCO2/kWh
oecd (ember)	NA	2022	338.66144	gCO2/kWh
oman	OMN	2022	488.27176	gCO2/kWh
pakistan	PAK	2022	344.15454	gCO2/kWh
palestine	PSE	2021	465.11627	gCO2/kWh
panama	PAN	2021	192.13585	gCO2/kWh
papua new guinea	PNG	2021	526.74896	gCO2/kWh
paraguay	PRY	2021	25.487255	gCO2/kWh
peru	PER	2022	256.51236	gCO2/kWh
philippines	PHL	2022	582.04724	gCO2/kWh
poland	POL	2022	634.5789	gCO2/kWh
portugal	PRT	2022	234.02895	gCO2/kWh
puerto rico	PRI	2021	681.4693	gCO2/kWh
qatar	QAT	2022	489.7603	gCO2/kWh
reunion	REU	2011	519.0311	gCO2/kWh
romania	ROU	2022	264.1208	gCO2/kWh
russia	RUS	2022	367.18896	gCO2/kWh
rwanda	RWA	2021	294.11765	gCO2/kWh
saint kitts and nevis	KNA	2021	681.81824	gCO2/kWh
saint lucia	LCA	2021	685.71423	gCO2/kWh
saint pierre and miquelon	SPM	2021	800	gCO2/kWh
saint vincent and the grenadines	VCT	2021	500	gCO2/kWh
samoa	WSM	2021	470.58823	gCO2/kWh
sao tome and principe	STP	2021	600	gCO2/kWh
saudi arabia	SAU	2021	571.3364	gCO2/kWh
senegal	SEN	2021	523.1317	gCO2/kWh
serbia	SRB	2022	569.37537	gCO2/kWh
seychelles	SYC	2021	615.3846	gCO2/kWh
sierra leone	SLE	2021	47.61905	gCO2/kWh
singapore	SGP	2022	488.77533	gCO2/kWh
slovakia	SVK	2022	140.66592	gCO2/kWh
slovenia	SVN	2022	237.37755	gCO2/kWh
solomon islands	SLB	2021	727.2727	gCO2/kWh
somalia	SOM	2021	634.1463	gCO2/kWh
south africa	ZAF	2022	708.9888	gCO2/kWh
south america	NA	2021	206.22043	gCO2/kWh
south korea	KOR	2022	435.68942	gCO2/kWh
south sudan	SSD	2021	684.2105	gCO2/kWh
spain	ESP	2022	217.37299	gCO2/kWh
sri lanka	LKA	2021	462.99695	gCO2/kWh
sudan	SDN	2021	264.01447	gCO2/kWh
suriname	SUR	2021	356.43567	gCO2/kWh
sweden	SWE	2022	45.083878	gCO2/kWh
switzerland	CHE	2022	45.62249	gCO2/kWh
syria	SYR	2021	541.16943	gCO2/kWh
taiwan	TWN	2022	561.00037	gCO2/kWh
tajikistan	TJK	2021	83.62899	gCO2/kWh
tanzania	TZA	2021	366.74817	gCO2/kWh
thailand	THA	2022	502.30505	gCO2/kWh
togo	TGO	2021	460.3174	gCO2/kWh
tonga	TON	2021	625	gCO2/kWh
trinidad and tobago	TTO	2021	491.40897	gCO2/kWh
tunisia	TUN	2022	469.428	gCO2/kWh
turkey	TUR	2022	413.62814	gCO2/kWh
turkmenistan	TKM	2021	490.1869	gCO2/kWh
turks and caicos islands	TCA	2021	703.7037	gCO2/kWh
uganda	UGA	2021	52.272728	gCO2/kWh
ukraine	UKR	2022	206.53922	gCO2/kWh
united arab emirates	ARE	2021	461.84473	gCO2/kWh
united kingdom	GBR	2022	257.37943	gCO2/kWh
united states	USA	2022	367.2595	gCO2/kWh
united states virgin islands	VIR	2021	685.71423	gCO2/kWh
upper-middle-income countries	NA	2021	491.60385	gCO2/kWh
uruguay	URY	2022	114.809784	gCO2/kWh
uzbekistan	UZB	2021	505.40543	gCO2/kWh
vanuatu	VUT	2021	571.4286	gCO2/kWh
venezuela	VEN	2021	212.47626	gCO2/kWh
vietnam	VNM	2022	376.82758	gCO2/kWh
western sahara	ESH	2009	666.6666	gCO2/kWh
world	OWID_WRL	2022	436.3364	gCO2/kWh
yemen	YEM	2021	543.90936	gCO2/kWh
zambia	ZMB	2021	84.69792	gCO2/kWh
zimbabwe	ZWE	2021	392.279	gCO2/kWh
